time,energy,delta_L2,max_u,mean_u
0.593,3.763208814361486,0.0009772922067259673,0.19266125049850535,0.0024993709106085164
0.594,3.7610500149056936,0.000975574859239757,0.1925577936928835,0.002499357402406274
0.595,3.7588950763673017,0.0009738629460802129,0.19245454094906836,0.002499343754206528
0.596,3.75674398535541,0.0009721564381324568,0.19235149150889116,0.0024993299654808674
0.597,3.7545967285446866,0.0009704553064910018,0.19224864461826566,0.002499316035703068
0.598,3.752453292674952,0.0009687595224589395,0.19214599952715936,0.002499301964349107
0.599,3.7503136645507045,0.0009670690575455522,0.1920435554895652,0.002499287750897153
0.6,3.7481778310407328,0.0009653838834658344,0.1919413117634732,0.0024992733948275884
0.601,3.7460457790776074,0.0009637039721382079,0.1918392676108426,0.002499258895623016
0.602,3.7439174956573367,0.0009620292956834125,0.19173742229757412,0.0024992442527682493
0.603,3.741792967838847,0.0009603598264232513,0.19163577509348242,0.0024992294657503436
0.604,3.739672182743636,0.000958695536878652,0.19153432527226893,0.0024992145340585765
0.605,3.737555127555315,0.0009570363997687327,0.19143307211149477,0.0024991994571844918
0.606,3.735441789519175,0.000955382388009055,0.19133201489255403,0.0024991842346218473
0.607,3.7333321559418517,0.0009537334747105497,0.19123115290064718,0.0024991688658666795
0.608,3.731226214190811,0.0009520896331776355,0.19113048542475472,0.002499153350417281
0.609,3.7291239516940027,0.0009504508369072706,0.19103001175761117,0.002499137687774202
0.61,3.7270253559394817,0.0009488170595875157,0.19092973119567905,0.0024991218774402715
0.611,3.7249304144749473,0.0009471882750958209,0.19082964303912328,0.002499105918920603
0.612,3.722839114907383,0.0009455644574980391,0.19072974659178585,0.0024990898117225775
0.613,3.7207514449026773,0.0009439455810472024,0.19063004116116036,0.0024990735553558734
0.614,3.7186673921851794,0.0009423316201815526,0.1905305260583672,0.0024990571493324672
0.615,3.7165869445373754,0.0009407225495237966,0.19043120059812865,0.002499040593166623
0.616,3.7145100897995107,0.0009391183438795702,0.19033206409874434,0.002499023886374912
0.617,3.7124368158691254,0.0009375189782361407,0.1902331158820668,0.0024990070284762185
0.618,3.7103671107007763,0.0009359244277611283,0.1901343552734773,0.002498990018991739
0.619,3.7083009623056196,0.0009343346678010997,0.19003578160186188,0.0024989728574449878
0.62,3.7062383587510377,0.000932749673880488,0.18993739419958758,0.002498955543361799
0.621,3.70417928816028,0.0009311694217001884,0.18983919240247876,0.002498938076270335
0.622,3.7021237387121255,0.000929593887136199,0.18974117554979394,0.002498920455701093
0.623,3.7000716986404676,0.0009280230462385888,0.1896433429842023,0.0024989026811869006
0.624,3.6980231562340116,0.0009264568752300246,0.18954569405176097,0.002498884752262934
0.625,3.695978099835899,0.0009248953505047505,0.18944822810189202,0.0024988666684667
0.626,3.6939365178433423,0.0009233384486270576,0.18935094448735998,0.0024988484293380618
0.627,3.69189839870731,0.0009217861463303471,0.18925384256424932,0.0024988300344192253
0.628,3.689863730932146,0.0009202384205157448,0.18915692169194223,0.0024988114832547675
0.629,3.6878325030752577,0.0009186952482510164,0.18906018123309662,0.002498792775391609
0.63,3.685804703746774,0.0009171566067690319,0.18896362055362415,0.0024987739103790375
0.631,3.683780321609178,0.0009156224734672311,0.18886723902266858,0.002498754887768696
0.632,3.681759345376999,0.000914092825905553,0.18877103601258421,0.0024987357071146136
0.633,3.679741763816498,0.0009125676418061013,0.1886750108989147,0.0024987163679731834
0.634,3.677727565745303,0.0009110468990513912,0.18857916306037162,0.002498696869903155
0.635,3.6757167400321045,0.000909530575683493,0.18848349187881366,0.0024986772124656878
0.636,3.673709275596324,0.0009080186499026348,0.18838799673922582,0.002498657395224296
0.637,3.6717051614078273,0.0009065111000664012,0.18829267702969862,0.0024986374177448844
0.638,3.6697043864865524,0.000905007904688106,0.18819753214140775,0.002498617279595735
0.639,3.667706939902234,0.0009035090424361311,0.18810256146859364,0.002498596980347539
0.64,3.6657128107740844,0.0009020144921324797,0.1880077644085414,0.0024985765195733468
0.641,3.663721988270467,0.0009005242327518864,0.18791314036156076,0.002498555896848626
0.642,3.6617344616086323,0.0008990382434203869,0.18781868873096633,0.0024985351117512242
0.643,3.659750220054364,0.0008975565034145957,0.18772440892305783,0.002498514163861394
0.644,3.657769252921704,0.0008960789921603621,0.1876303003471007,0.0024984930527617724
0.645,3.655791549572635,0.0008946056892316665,0.18753636241530663,0.00249847177803741
0.646,3.6538170994168446,0.0008931365743496555,0.18744259454281445,0.0024984503392757496
