time,energy,delta_L2,max_u,mean_u
0.54,1880.2105282774487,0.052527551553927826,0.5057671369153842,0.38501807112468844
0.541,1883.4414346020994,0.052314482385882176,0.5059628321400873,0.38539707516161825
0.542,1886.6624629516546,0.05210062372449057,0.5061574204706235,0.38577454290164365
0.543,1889.8735468945983,0.05188598495184949,0.5063509043834934,0.38615046951897863
0.544,1893.0746204792047,0.05167057534368441,0.506543286387068,0.3865248502596359
0.545,1896.265618252145,0.051454404104218726,0.5067345690214153,0.3868976804437367
0.546,1899.446475276623,0.051237480404871714,0.5069247548581298,0.3872689554677716
0.547,1902.6171271500607,0.05101981342620503,0.5071138465001411,0.3876386708068143
0.548,1905.7775100213448,0.050801412402578495,0.5073018465815228,0.3880068220166768
0.549,1908.927560607612,0.05058228666908846,0.5074887577672915,0.38837340473602056
0.55,1912.0672162106534,0.05036244571006461,0.5076745827531991,0.3887384146884061
0.551,1915.1964147328936,0.05014189920867201,0.5078593242655165,0.3891018476842936
0.552,1918.315094692976,0.049920657097014466,0.5080429850608119,0.3894636996229836
0.553,1921.4231952410005,0.04969872960616715,0.5082255679257203,0.3898239664945047
0.554,1924.5206561733849,0.04947612731559882,0.5084070756767068,0.39018264438143957
0.555,1927.6074179474156,0.0492528612014327,0.5085875111598237,0.3905397294606967
0.556,1930.683421695464,0.04902894268307745,0.5087668772504592,0.3908952180052197
0.557,1933.7486092389172,0.048804383667629604,0.5089451768530769,0.39124910638563876
0.558,1936.8029231018131,0.048579196591723404,0.5091224129009636,0.39160139107186054
0.559,1939.8463065242356,0.04835339446029748,0.5092985883559478,0.3919520686345964
0.56,1942.8787034754287,0.04812699088190721,0.5094737062081303,0.39230113574682907
0.561,1945.9000586667053,0.047900000100232036,0.5096477694755973,0.3926485891852167
0.562,1948.9103175641067,0.04767243702144984,0.5098207812041371,0.39299442583143335
0.5630000000000001,1951.9094264008822,0.04744431723717267,0.509992744466945,0.3933386426734455
0.5640000000000001,1954.8973321897372,0.04721565704272008,0.5101636623643243,0.39368123680672495
0.5650000000000001,1957.8739827349063,0.046986473450522426,0.510333538023382,0.39402220543539485
0.5660000000000001,1960.839326644033,0.04675678419848955,0.510502374597727,0.39436154587331307
0.5670000000000001,1963.7933133398883,0.04652660775334496,0.5106701752671245,0.394699255545088
0.5680000000000001,1966.7358930718515,0.04629596330815547,0.5108369432372395,0.3950353319870262
0.5690000000000001,1969.6670169272838,0.046064870775782564,0.5110026817392339,0.3953697728480171
0.5700000000000001,1972.586636842685,0.04583335077588631,0.5111673940294944,0.39570257589034824
0.5710000000000001,1975.4947056146582,0.045601424617389086,0.5113310833892799,0.3960337389904552
0.5720000000000001,1978.3911769107021,0.04536911427572216,0.5114937531243872,0.39636326013959966
0.5730000000000001,1981.2760052798108,0.04513644236511847,0.5116554065648073,0.3966911374444856
0.5740000000000001,1984.1491461628384,0.04490343210616977,0.5118160470643817,0.39701736912780217
0.5750000000000001,1987.0105559026867,0.0446701072888608,0.5119756780004521,0.3973419535287032
0.5760000000000001,1989.860191754243,0.04443649223132599,0.512134302773509,0.3976648891032151
0.577,1992.6980118940764,0.04420261173464139,0.5122919248068349,0.3979861744245796
0.578,1995.5239754298866,0.043968491033977486,0.5124485475461449,0.39830580818352745
0.579,1998.338042409678,0.04373415574646046,0.5126041744592251,0.3986237891884869
0.58,2001.1401738306442,0.043499631816132985,0.512758809035566,0.39894011636572246
0.581,2003.9303316477526,0.043264945456428165,0.5129124547859961,0.39925478875940956
0.582,2006.7084787819963,0.043030123090532175,0.5130651152423099,0.39956780553164284
0.583,2009.4745791283221,0.042795191290156034,0.5132167939568933,0.39987916596237993
0.584,2012.2285975631748,0.042560176713071836,0.5133674945023512,0.40018886944931986
0.585,2014.9704999516846,0.042325106039906024,0.513517220471129,0.40049691550772115
0.586,2017.7002531544472,0.042090005910626144,0.5136659754751317,0.40080330377015366
0.587,2020.4178250339005,0.04185490286117759,0.5138137631453435,0.4011080339861943
0.588,2023.123184460259,0.04161982326066969,0.5139605871314382,0.4014111060220594
0.589,2025.8163013170065,0.04138479324958795,0.5141064511013951,0.4017125198601822
0.59,2028.4971465059393,0.041149838679362366,0.5142513587411505,0.4020122755987321
0.591,2031.1656919517081,0.040914985053706165,0.5143953137541547,0.4023103734510805
0.592,2033.8219106059014,0.04068025747217982,0.5145383198610043,0.4026068137452122
0.593,2036.4657764506076,0.040445680576029035,0.5146803807990579,0.4029015969230887
0.594,2039.097264501481,0.040211278496979974,0.5148215003220413,0.40319472353995994
0.595,2041.716350810279,0.039977074808961476,0.5149616821996575,0.4034861942636329
0.596,2044.3230124668892,0.03974309248311833,0.5151009302171937,0.4037760098736916
0.597,2046.9172276008173,0.03950935384630709,0.5152392481751287,0.40406417126068034
0.598,2049.49897538215,0.03927588054322397,0.5153766398887404,0.404350679425244
0.599,2052.0682360219853,0.03904269350232787,0.515513109187717,0.40463553547723247
0.6,2054.624990772326,0.03880981290563365,0.5156486599157566,0.4049187406347728
0.601,2057.169221925451,0.03857725816246855,0.515783295930179,0.40520029622330644
0.602,2059.700912812762,0.03834504788718972,0.5159170211015298,0.40548020367460125
0.603,2062.220047803109,0.03811319988099344,0.5160498393131857,0.40575846452573644
0.604,2064.7266123006,0.037881731117573404,0.5161817544609679,0.4060350804180637
0.605,2067.220592741929,0.037650657732821176,0.5163127704527468,0.406310053096148
0.606,2069.701976593203,0.03741999501835341,0.516442891208048,0.4065833844066922
0.607,2072.1707523462746,0.03718975741878167,0.5165721206576711,0.4068550762974469
0.608,2074.626909514651,0.03695995853270108,0.5167004627432878,0.40712513081610596
0.609,2077.070438628915,0.0367306111172084,0.5168279214170585,0.4073935501091963
0.61,2079.501331231752,0.03650172709576162,0.5169545006412424,0.4076603364209592
0.611,2081.9195798725323,0.036273317569317766,0.5170802043878087,0.407925492092227
0.612,2084.3251781015165,0.0360453928305159,0.5172050366380626,0.40818901955930315
0.613,2086.7181204636786,0.03581796238077095,0.5173290013822447,0.408450921352835
0.614,2089.098402492173,0.0355910349500661,0.5174521026191542,0.4087112000966995
0.615,2091.466020701474,0.035364618519314314,0.5175743443557671,0.40896985850688716
0.616,2093.820972580188,0.03513872034497646,0.5176957306068561,0.4092268993903995
0.617,2096.1632565835803,0.03491334698594088,0.5178162653946112,0.4094823256441518
0.618,2098.4928721258266,0.03468850433229584,0.5179359527482624,0.40973614025389143
0.619,2100.809819572025,0.034464197635859666,0.5180547967037045,0.40998834629312725
0.62,2103.1141002299546,0.034240431542584604,0.518172801303133,0.41023894692207413
0.621,2105.4057163416574,0.03401721012578472,0.518289970594644,0.4104879453866174
0.622,2107.6846710748177,0.033794536921261026,0.518406308631896,0.41073534501728726
0.623,2109.9509685139683,0.03357241496312733,0.5185218194737296,0.41098114922826257
0.624,2112.2046136515664,0.03335084682064824,0.518636507183803,0.4112253615163845
0.625,2114.44561237894,0.03312983463581822,0.5187503758302296,0.41146798546019653
0.626,2116.6739714771343,0.032909380161554605,0.5188654358267377,0.41170902471900284
0.627,2118.8896986076534,0.03268948480026907,0.5189867534540357,0.4119484830319496
0.628,2121.0928023031547,0.03247014964287899,0.5191071119876632,0.4121863642171249
0.629,2123.283291958077,0.03225137550787309,0.5192265175490915,0.41242267217068423
0.63,2125.461177819243,0.03203316298043812,0.519344976242477,0.41265741086599395
0.631,2127.626470976446,0.03181551245153348,0.5194624941543752,0.4128905843527976
0.632,2129.779183353009,0.03159842415670287,0.5195790773534628,0.41312219675640194
0.633,2131.919327696395,0.03138189821464111,0.5196947318902599,0.41335225227688305
0.634,2134.046917568793,0.031165934665143117,0.5198094637968618,0.4135807551883122
0.635,2136.161967337771,0.03095053350670454,0.5199232790866737,0.41380770983799986
0.636,2138.2644921669767,0.030735694733291147,0.5200361837541513,0.41403312064575604
0.637,2140.3545080068666,0.030521418370421164,0.5201481837745467,0.4142569921031678
0.638,2142.4320315855302,0.03030770451033573,0.5202592851036602,0.414479328772891
0.639,2144.4970803995666,0.030094553346215212,0.520369493677595,0.4147001352879561
0.64,2146.5496727050586,0.029881965205297147,0.5204788154125201,0.4149194163510848
0.641,2148.5898275086256,0.029669940580841252,0.5205872562044399,0.41513717673401795
0.642,2150.6175645585568,0.02945848016282722,0.5206948219289529,0.41535342127685226
0.643,2152.6329043360693,0.029247584867295832,0.5208015184410426,0.4155681548873843
0.644,2154.635868046647,0.02903725586425445,0.5209073515748542,0.4157813825404582
0.645,2156.6264776114767,0.028827494604046874,0.5210123271434812,0.4159931092773196
0.646,2158.6047556590083,0.028618302842127307,0.5211164509387576,0.4162033402049688
0.647,2160.570725516604,0.02840968266212038,0.5212197287310544,0.41641208049551626
0.648,2162.524411202299,0.0282016364971699,0.5213221662690812,0.416619335385535
0.649,2164.4658374166634,0.027994167149410876,0.5214237692796942,0.4168251101754078
0.65,2166.395029534774,0.027787277807583895,0.5215245434677066,0.4170294102286734
0.651,2168.3120135982745,0.02758097206266237,0.5216244945157036,0.4172322409713606
0.652,2170.216816307543,0.027375253921517795,0.5217236280838711,0.4174336078913174
0.653,2172.109465013955,0.027170127818505505,0.5218219498098139,0.4176335165375254
0.654,2173.989987712218,0.026965598624982986,0.5219194653083903,0.4178319725194063
0.655,2175.85841303281,0.026761671656704154,0.5220161801715476,0.4180289815061126
0.656,2177.7147702344955,0.026558352679090288,0.5221120999681624,0.4182245492258011
0.657,2179.5590891968936,0.026355647910295626,0.5222072302438867,0.4184186814648937
0.658,2181.3914004131448,0.026153564022230107,0.5223015765209975,0.41861138406731646
0.659,2183.2117349826176,0.02595210813933465,0.5223951442982513,0.4188026629337215
0.66,2185.020124603658,0.02575128783523639,0.5224879390507445,0.4189925240206884
